acceptance_rate,pred,name,act_avg,sat_avg,hs_gpa_avg,enrollment,public_private,Index
57,0,Illinois Institute of Technology,26,1130,3.84,2944,private,100
65,0,University of Delaware,23,1090,3.7,18374,public,83
60,0,University of Illinois--Urbana-Champaign,26,1280,3.79,33932,public,52
88,0,Cleveland State University,19,890,3.3,12433,public,216
60,0,University of Massachusetts--Amherst,25,1130,3.8,23373,public,74
83,0,Montana State University,21,1010,3.4,14400,public,195
74,0,Marquette University,24,1040,3.56,8238,private,88
84,0,University of North Dakota,21,960,3.4,11255,public,182
90,0,University of Northern Colorado,19,930,3.3,9503,public,256
79,0,University of Arizona,21,970,3.5,34072,public,122
85,0,Kent State University,21,950,3.4,23684,public,165
80,0,University of Hawaii--Manoa,21,970,3.5,13132,public,153
80,0,Robert Morris University,21,940,3.5,4384,private,166
80,0,East Tennessee State University,20,920,3.5,11065,public,218
80,0,University of South Alabama,20,875,3.5,11761,public,257
86,0,Oakland University,20,805,3.4,16568,public,231
86,0,University of Nebraska--Omaha,19,930,3.4,12536,public,253
92,0,University of Montana,20,950,3.3,10077,public,199
65,0,Miami University--Oxford,26,1130,3.8,16981,public,75
88,0,Shenandoah University,19,880,3.4,2099,private,210
89,0,Portland State University,19,930,3.4,21633,public,233
96,0,University of Akron,19,910,3.3,17416,public,246
91,0,South Dakota State University,20,890,3.4,10959,public,201
92,0,Wichita State University,21,915,3.4,11823,public,265
94,0,East Carolina University,20,970,3.33,22969,public,193
93,0,North Dakota State University,21,1000,3.4,12010,public,185
94,0,University of Memphis,19,890,3.4,17176,public,251
94,0,University of Toledo,20,920,3.4,16247,public,261
88,0,University of Nevada--Reno,21,970,3.4,18191,public,191
90,0,Utah State University,20,980,3.5,24838,public,205
95,0,University of Wyoming,21,960,3.5,9788,public,173
91,0,University of Kentucky,22,980,3.59,22621,public,132
